interview__key	interview__id	finaAcess_roser__id	percent_financeSource
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	1	30
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	1	50000
57-10-82-38	557ff391943c4331800a1fdf93898f33	1	50
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	1	10
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	1	30
78-34-46-52	a7a35e8f77894ed288571143c9e41998	1	100
67-22-99-76	41e06a5ba955420e98fb8fd9dc0af42d	1	20
44-67-68-73	7f829621b6164626929c245c06d6c5eb	1	60
